 1.663413e+00 -3.293584e+01  1.663413e+00 -5.143528e-06 
 1.667247e+00 -3.293584e+01  1.667247e+00 -5.155385e-06 
 1.671091e+00 -3.293584e+01  1.671091e+00 -5.167270e-06 
 1.674943e+00 -3.293584e+01  1.674943e+00 -5.179181e-06 
 1.678804e+00 -3.293584e+01  1.678804e+00 -5.191121e-06 
 1.682674e+00 -3.293584e+01  1.682674e+00 -5.203087e-06 
 1.686553e+00 -3.293584e+01  1.686553e+00 -5.215082e-06 
 1.690441e+00 -3.293584e+01  1.690441e+00 -5.227104e-06 
 1.694338e+00 -3.293584e+01  1.694338e+00 -5.239153e-06 
 1.698244e+00 -3.293584e+01  1.698244e+00 -5.251231e-06 
 1.702159e+00 -3.293584e+01  1.702159e+00 -5.263336e-06 
 1.706082e+00 -3.293584e+01  1.706082e+00 -5.275470e-06 
 1.710015e+00 -3.293584e+01  1.710015e+00 -5.287631e-06 
 1.713957e+00 -3.293584e+01  1.713957e+00 -5.299820e-06 
 1.717908e+00 -3.293584e+01  1.717908e+00 -5.312037e-06 
 1.721869e+00 -3.293584e+01  1.721869e+00 -5.324283e-06 
 1.725838e+00 -3.293584e+01  1.725838e+00 -5.336557e-06 
 1.729816e+00 -3.293584e+01  1.729816e+00 -5.348859e-06 
 1.733804e+00 -3.293584e+01  1.733804e+00 -5.361189e-06 
 1.737801e+00 -3.293584e+01  1.737801e+00 -5.373548e-06 
 1.741807e+00 -3.293584e+01  1.741807e+00 -5.385935e-06 
 1.745822e+00 -3.293584e+01  1.745822e+00 -5.398351e-06 
 1.749847e+00 -3.293584e+01  1.749847e+00 -5.410795e-06 
 1.753881e+00 -3.293584e+01  1.753881e+00 -5.423269e-06 
 1.757924e+00 -3.293584e+01  1.757924e+00 -5.435771e-06 
 1.761976e+00 -3.293584e+01  1.761976e+00 -5.448301e-06 
 1.766038e+00 -3.293584e+01  1.766038e+00 -5.460861e-06 
 1.770109e+00 -3.293584e+01  1.770109e+00 -5.473450e-06 
 1.774189e+00 -3.293584e+01  1.774189e+00 -5.486067e-06 
